1,"JavaScript","web"
2,"HTML/CSS","web"
3,"Java","gen"
4,"c#",gen
5,"Python","gen"
6,"PHP","web"
7,"C++",gen
8,"C","gen"
9,"TypeScript","web"
10,"Ruby","web"
11,"Django","web"
12,"NodeJS","web"
13,"AngularJS","web"
14,".NET Core","web"
15,"React","web"
16,"Cordova","web"
17,"Firebase","web"
18,"Python","web"
19,"Hadoop","db"
20,"Spark","db"
21,"MySQL","db"
22,"SQL Server","db"
23,"SQLite","db"
24,"PostgreSQL","db"
25,"MongoDB","db"
26,"Oracle","db"
27,"Redis","db"
28,"Cassandra","db"
29,"Tensorflow","ml"
30,"Tensorflow","ai"
31,"Keras","ml"
32,"Keras","ai"
33,"PyTorch","ml"
34,"PyTorch","ai"
35,"Caffe","ml"
36,"Caffe","ai"
37,"MySQL","db"